Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Giovanni Di Lorenzo,it ITA,DF,28-180,23,23,"2,055",22.8,1,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,0.7,0.7,1.3,2,0.03,0.06,0.09,0.03,0.09,Matches
Mario Rui,pt POR,DF,30-249,20,20,"1,764",19.6,0,2,0,0,0,5,0,0,0.1,0.1,0,0.1,1.2,1.2,2.5,3.7,0.06,0.13,0.19,0.06,0.19,Matches
Amir Rrahmani,xk KVX,DF,27-341,20,20,"1,757",19.5,3,0,3,0,0,3,0,0.15,0,0.15,0.15,0.15,2.2,2.2,0.2,2.5,0.11,0.01,0.13,0.11,0.13,Matches
David Ospina,co COL,GK,33-153,19,19,"1,710",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Piotr Zielinski,pl POL,MF,27-256,21,18,"1,343",14.9,5,5,5,0,0,1,0,0.34,0.34,0.67,0.34,0.67,2.5,2.5,2.8,5.4,0.17,0.19,0.36,0.17,0.36,Matches
Fabian Ruiz Pena,es ESP,MF,25-303,18,17,"1,440",16,5,3,5,0,0,1,0,0.31,0.19,0.5,0.31,0.5,1,1,2.3,3.3,0.06,0.15,0.21,0.06,0.21,Matches
Lorenzo Insigne,it ITA,FW,30-241,18,16,"1,270",14.1,5,4,0,5,8,0,0,0.35,0.28,0.64,0,0.28,9,2.9,3.7,6.5,0.64,0.26,0.9,0.2,0.46,Matches
Kalidou Koulibaly,sn SEN,DF,30-225,14,14,"1,235",13.7,2,1,2,0,0,2,1,0.15,0.07,0.22,0.15,0.22,1.5,1.5,0.1,1.6,0.11,0,0.12,0.11,0.12,Matches
Hirving Lozano,mx MEX,FW,26-185,21,14,"1,108",12.3,4,3,4,0,0,1,0,0.32,0.24,0.57,0.32,0.57,4.7,4.6,1.4,6,0.39,0.11,0.5,0.37,0.48,Matches
Andre-Frank Zambo Anguissa,cm CMR,MF,26-076,14,13,"1,177",13.1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1.1,2.1,0.07,0.08,0.16,0.07,0.16,Matches
Matteo Politano,it ITA,FW,28-181,21,11,"1,050",11.7,1,2,1,0,0,2,0,0.09,0.17,0.26,0.09,0.26,1.9,1.9,2.7,4.6,0.16,0.23,0.39,0.16,0.39,Matches
Victor Osimhen,ng NGA,FW,23-033,13,11,890,9.9,5,0,5,0,0,3,1,0.51,0,0.51,0.51,0.51,5.6,5.6,0.8,6.4,0.57,0.08,0.65,0.57,0.65,Matches
Elif Elmas,mk MKD,"FW,MF",22-129,23,10,"1,177",13.1,2,3,2,0,0,2,0,0.15,0.23,0.38,0.15,0.38,1.1,1.1,1.4,2.5,0.08,0.11,0.19,0.08,0.19,Matches
Stanislav Lobotka,sk SVK,MF,27-067,11,10,888,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0.04,0.05,0,0.05,Matches
Dries Mertens,be BEL,"FW,MF",34-270,17,10,756,8.4,7,1,6,1,1,1,0,0.83,0.12,0.95,0.71,0.83,3.5,2.7,0.8,3.5,0.41,0.09,0.5,0.32,0.41,Matches
Juan Jesus,br BRA,DF,30-235,13,9,835,9.3,1,0,1,0,0,0,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0.2,0.7,0.06,0.02,0.08,0.06,0.08,Matches
Diego Demme,de GER,MF,30-071,12,4,411,4.6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.3,0.4,0,0.07,0.08,0,0.08,Matches
Alex Meret,it ITA,GK,24-315,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kostas Manolas,gr GRE,DF,30-231,4,3,313,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrea Petagna,it ITA,FW,26-215,19,2,450,5,2,0,2,0,0,1,0,0.4,0,0.4,0.4,0.4,1.2,1.2,0.4,1.5,0.24,0.07,0.31,0.24,0.31,Matches
Faouzi Ghoulam,dz ALG,DF,30-364,8,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.03,0.13,0.16,0.03,0.16,Matches
K̩vin Malcuit,ma MAR,DF,30-184,5,2,184,2,0,1,0,0,0,2,0,0,0.49,0.49,0,0.49,0.1,0.1,0.4,0.5,0.04,0.2,0.24,0.04,0.24,Matches
Adam Ounas,dz ALG,"MF,FW",25-081,10,1,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,1.8,0.31,0.32,0.62,0.31,0.62,Matches
Alessandro Zanoli,it ITA,"DF,MF",21-120,4,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gianluca Gaetano,it ITA,MF,21-271,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Tuanzebe,eng ENG,DF,24-078,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
